userID,placeID,rating,food_rating,service_rating,latitude_user,longitude_user,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,latitude_rest,longitude_rest,name,address,city,state,country,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services,Rcuisine,parking_lot,rest_payment_methods,user_payment_methods,age,price_category,frequent_rater,payment_match
U1077,135085,2,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,SLP,Mexico,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none,fast_food,public,cash,"VISA, bank_debit_cards, cash",39,Moderate,False,True
U1077,135038,2,2,1,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.155651,-100.977767,Restaurant la Chalita,Guajardo Sn San Luis Potosi Centro,San Luis Potosi,SLP,Mexico,no_alcohol_served,section,informal,no_accessibility,medium,familiar,f,closed,none,,none,cash,"VISA, bank_debit_cards, cash",39,Moderate,False,True
U1077,132825,2,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.1473922,-100.983092,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,no_alcohol_served,none,informal,completely,low,familiar,f,open,none,mexican,none,cash,"VISA, bank_debit_cards, cash",39,Affordable,False,True
U1077,135060,1,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.156883,-100.978485,Restaurante Marisco Sam,Ignacio Allende 785 Centro,San Luis Potosi,SLP,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,f,closed,none,seafood,none,cash,"VISA, bank_debit_cards, cash",39,Moderate,False,True
U1068,135104,1,1,2,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7529821,-99.1684341,vips,,,,,full_bar,not permitted,informal,completely,medium,familiar,t,closed,variety,mexican,yes,"MasterCard-Eurocard, VISA, cash",cash,38,Moderate,True,True
U1068,132740,0,0,0,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7521965,-99.1666317,Carreton de Flautas y Migadas,,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,permitted,informal,completely,low,familiar,f,open,none,mexican,none,cash,cash,38,Affordable,True,True
U1068,132663,1,1,1,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7525107,-99.1669536,tacos abi,,victoria,tamaulipas,mexico,no_alcohol_served,none,informal,completely,low,familiar,f,closed,none,mexican,none,,cash,38,Affordable,True,
U1068,132732,0,0,0,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7543569,-99.171288,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico,no_alcohol_served,none,casual,completely,low,familiar,f,open,none,mexican,none,cash,cash,38,Affordable,True,True
U1068,132630,1,1,1,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7529305,-99.1644725,palomo tec,blvrd emilio portes gil,victoria,tamaulipas,,no_alcohol_served,none,informal,completely,low,familiar,f,closed,none,mexican,none,,cash,38,Affordable,True,
U1067,132584,2,2,2,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7523648,-99.1652879,Gorditas Dona Tota,,,,,no_alcohol_served,not permitted,informal,completely,medium,familiar,t,closed,none,mexican,yes,cash,cash,39,Moderate,True,True
U1067,132733,1,1,1,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7527071,-99.1625655,Little Cesarz,,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,not permitted,informal,completely,medium,familiar,t,closed,none,pizzeria,yes,"MasterCard-Eurocard, VISA, bank_debit_cards, cash",cash,39,Moderate,True,True
